"","male.Plasmacytoid.DCs.gene","male.Plasmacytoid.DCs.cluster_id","male.Plasmacytoid.DCs.logFC","male.Plasmacytoid.DCs.logCPM","male.Plasmacytoid.DCs.F","male.Plasmacytoid.DCs.p_val","male.Plasmacytoid.DCs.p_adj.loc","male.Plasmacytoid.DCs.p_adj.glb","male.Plasmacytoid.DCs.contrast"
"1","ENSG00000121410","Plasmacytoid DCs",0.257829544239935,7.72839024274696,1.36850128370327,0.255272136151191,0.87892154587551,0.87892154587551,"male"
"2","ENSG00000094914","Plasmacytoid DCs",0.0485188252087656,6.37830602210642,0.020870929628988,0.886518812636138,0.999655406872307,0.999655406872307,"male"
"3","ENSG00000127837","Plasmacytoid DCs",-0.0371282369758084,7.05722986521352,0.0243694871225451,0.877450428912595,0.999655406872307,0.999655406872307,"male"
"4","ENSG00000131043","Plasmacytoid DCs",-0.105431994052709,6.5011611404448,0.104936142827602,0.749212502494177,0.98369885823663,0.98369885823663,"male"
"5","ENSG00000090861","Plasmacytoid DCs",-0.34783157734725,6.14752783184758,0.68844089363009,0.416096751508313,0.924008077734661,0.924008077734661,"male"
"6","ENSG00000149313","Plasmacytoid DCs",0.414064369282437,7.44608100436113,3.91817083800503,0.0611256299532837,0.658747390473985,0.658747390473985,"male"
"7","ENSG00000275700","Plasmacytoid DCs",-0.168721013632869,7.3317651645536,0.524771266301381,0.476866466187381,0.92804938784949,0.92804938784949,"male"
"8","ENSG00000064687","Plasmacytoid DCs",0.441652167944449,5.90912507651917,0.693105819991627,0.41454709907715,0.924008077734661,0.924008077734661,"male"
"9","ENSG00000131269","Plasmacytoid DCs",0.254669343156639,6.25396227702742,0.580596045882731,0.454614620560493,0.925020265875135,0.925020265875135,"male"
"10","ENSG00000197150","Plasmacytoid DCs",0.268738827855206,6.24657973803218,0.608253621072236,0.444212139581498,0.925020265875135,0.925020265875135,"male"
"11","ENSG00000119688","Plasmacytoid DCs",0.341142408563162,6.24786109998379,0.959559745734633,0.338531001661677,0.906609072270442,0.906609072270442,"male"
